category,items_sold,revenue,avg_review
health_beauty,9465,1412089.53,4.19
watches_gifts,5859,1264333.12,4.07
bed_bath_table,10953,1225209.26,3.92
sports_leisure,8431,1118256.91,4.17
computers_accessories,7644,1032723.77,3.99
furniture_decor,8160,880329.92,3.95
housewares,6795,758392.25,4.11
cool_stuff,3718,691680.89,4.19
auto,4140,669454.75,4.12
garden_tools,4268,567145.68,4.08
toys,4030,547061.06,4.21
baby,2982,466727.65,4.08
perfumery,3340,443171.63,4.22
telephony,4430,379202.62,3.99
office_furniture,1668,335211.36,3.51
stationery,2466,269575.05,4.25
pet_shop,1924,250614.2,4.22
computers,199,228349.76,4.22
musical_instruments,651,202187.12,4.22
electronics,2729,200723.09,4.07
small_appliances,658,198108.47,4.23
unknown,1537,197695.69,3.94
fashion_bags_accessories,1985,179888.29,4.19
luggage_accessories,1077,168778.12,4.35
consoles_games,1089,167097.73,4.14
construction_tools_construction,916,162382.01,4.09
home_appliances_2,231,118208.52,4.16
home_construction,596,95022.37,3.96
home_appliances,754,93301.78,4.22
furniture_living_room,495,85045.07,3.93
agro_industry_and_commerce,206,76203.3,4.09
home_confort,429,66438.22,3.85
air_conditioning,289,59854.55,4.05
fixed_telephony,255,59816.54,3.76
kitchen_dining_laundry_garden_furniture,274,57072.97,4.03
audio,362,56255.32,3.84
books_general_interest,537,54182.54,4.51
small_appliances_home_oven_and_coffee,73,49245.9,4.44
construction_tools_lights,301,47447.14,4.08
industry_commerce_and_business,265,46079.34,4.13
construction_tools_safety,183,42504.02,3.97
food,499,35794.68,4.26
market_place,305,33114.38,4.07
costruction_tools_garden,232,30283.94,4.12
fashion_shoes,257,27814.83,4.29
signaling_and_security,197,27792.59,4.09
art,197,27485.53,4.08
drinks,361,26971.11,4.12
furniture_bedroom,103,23379.22,4.25
books_technical,263,22901.07,4.39
food_drink,269,19337.77,4.37
costruction_tools_tools,103,17934.17,4.44
fashion_male_clothing,125,12514.95,3.76
christmas_supplies,150,11928.75,4.07
fashion_underwear_beach,127,11160.02,4.05
tablets_printing_image,83,8754.61,4.12
cine_photo,70,7902.18,4.29
music,38,6724.86,4.21
furniture_mattress_and_upholstery,37,5904.75,3.89
dvds_blu_ray,61,5769.84,4.18
party_supplies,42,5285.38,3.83
books_imported,57,5150.94,4.51
portateis_cozinha_e_preparadores_de_alimentos,14,4228.05,3.43
fashio_female_clothing,45,3218.44,3.93
fashion_sport,29,2657.55,4.34
la_cuisine,14,2388.54,4.0
arts_and_craftmanship,24,2184.14,4.13
diapers_and_hygiene,37,2046.19,3.38
flowers,33,1598.91,4.42
pc_gamer,8,1430.1,3.63
home_comfort_2,30,1170.58,3.63
cds_dvds_musicals,14,954.99,4.64
fashion_childrens_clothes,7,598.67,5.0
security_and_services,2,324.51,2.5
